Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark (lamed),Filiation mark (bn/bt),Provenance,Size range
WSS 500,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Jerusalem,[80-100]%
WSS 420,,Judah,FALSE,TRUE,FALSE,TRUE,TRUE,Double-line,TRUE,,Vertical,,,,FALSE,,,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 636,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[60-79]%
WSS 448,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 541,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 450,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem,[60-79]%
WSS 447,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Jerusalem,[60-79]%
WSS 515,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 467,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Ladder pattern,TRUE,Single-line,Horizontal,,,,,,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 637,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 626,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 469,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 440,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line terminating in loops,TRUE,,Horizontal,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 638,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 508,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 437,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 599,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem,[80-100]%
WSS 463,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 503,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 588,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem,
WSS 581,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem,[80-100]%
WSS 644,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 429,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem,[60-79]%
WSS 441,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 511,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 643,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 573,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line with dot(s),TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 509,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,,Horizontal,,,,FALSE,FALSE,,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 482,,Judah,FALSE,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,Jerusalem,[80-100]%
WSS 586,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,
