Short Reference,Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,Divider Type,Border,Border Type,Orientation,Shape,Material,Size ratio,Perforated,Yahwistic Name,Yahwistic Father,Elohistic Name,Elohistic Father,Belonging Mark,Filiation Mark,Provenance
WSS 0509,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0510,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,TRUE,Jerusalem
WSS 0511,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0515,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0518,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,Jerusalem
WSS 0523,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Lachish
WSS 0524,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0530,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0536,Plain aniconic,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,,FALSE,,Tell el-Judeideh
WSS 0541,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0568,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Tell el-Hesi
WSS 0571,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0573,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0577,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Lachish
WSS 0581,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0586,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,FALSE,TRUE,TRUE,Jerusalem
WSS 0588,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem
WSS 0595,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,Jerusalem
WSS 0596,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0599,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
WSS 0605,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,FALSE,Jerusalem
WSS 0626,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0636,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0637,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,UNKNOWN,Jerusalem
WSS 0638,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0639,Plain iconic,Judah,TRUE,UNKNOWN,FALSE,FALSE,FALSE,,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Tell el-Judeideh
WSS 0643,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0644,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0660,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
WSS 0661,UNKNOWN,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,Beersheba
