ShortReference,Type(s),Polity,Iconic,HasPatronymic,HasGrandFather,HasTitle,Gender,HasDivider,DividerType,HasBorder,BorderType,Orientation,Shape,Material,Perforated,YahwisticName,YahwisticFather,ElohisticName,ElohisticFather,BelongingMark,FiliationMark
WSS 0427,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Single-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0429,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0437,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0440,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0441,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0447,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0448,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0450,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0458,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0459,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
